Abbreviation;Discipline;Sport;Season;Olympic Status?
GTR;Trampolining;Gymnastics;Summer;TRUE
TRI;Triathlon;Triathlon;Summer;TRUE
TOW;Tug-Of-War;Tug-Of-War;Summer;TRUE
UNK;Unknown Sport;Ancient Sports;Summer;FALSE
VVO;Volleyball;Volleyball;Summer;TRUE
WPO;Water Polo;Aquatics;Summer;TRUE
WSK;Waterskiing;Waterskiing and Wakeboarding;Summer;FALSE
WLF;Weightlifting;Weightlifting;Summer;TRUE
WPE;Winter Pentathlon;Winter Pentathlon;Winter;FALSE
WRE;Wrestling;Wrestling;Summer;TRUE
WSU;Wushu;Wushu;Summer;FALSE
